id,name,category,expected_direction,main_horizon,test_status,n_events,ret_T1_mean,ret_T5_mean,ret_T20_mean,n_labeled,mean,std,win_rate,t_stat,p_value,effect_size,fdr_passed,q_value
A11,볼린저 밴드폭 급증,single,two_sided,5,measurement_only,8280,-0.0024835848922667427,-0.0028359827778196185,-0.0017534876517480767,8273,-0.0028359827778196185,0.11592827491935534,0.4440952496071558,-2.225080501333271,0.02610269855937352,-0.024463253505604646,False,
A12,ATR 급증,single,two_sided,5,measurement_only,2496,-0.008645086735259376,-0.010647204001207259,-0.013291327751104063,2431,-0.010647204001207259,0.17167204588978807,0.381324557795146,-3.0579365638404026,0.0022529577192479354,-0.06202060414683162,False,
A13,거래량 급증,single,two_sided,5,measurement_only,36797,-0.0012649455540598683,0.0009075483794896061,0.005058217806705598,36773,0.0009075483794896061,0.1073720075519143,0.4399151551410002,1.620851559734699,0.1050580518164195,0.00845237413532393,False,
A14,호재공시 발생,single,positive,5,measurement_only,7417,0.005234282195264497,0.007813274648151286,0.006307801894792865,7087,0.007813274648151286,0.0956881353178596,0.49357979398899393,6.873947573471074,3.3883247148792155e-12,0.08165353648283485,False,
A15,악재공시 발생,single,negative,5,measurement_only,4819,-0.0016784205340566838,0.005307745218922799,0.007795481816657693,3450,0.005307745218922799,0.16472545977046948,0.4211594202898551,1.892600223049958,0.9707526429079252,0.032221765999734815,False,
A16,URGENT 공시 발생,single,negative,5,measurement_only,2655,0.00045989130149237315,-0.0021177762727162043,0.02446965473048172,1485,-0.0021177762727162043,0.1625715375127812,0.4276094276094276,-0.5019943070381462,0.3078729978849985,-0.013026734600143072,False,
A17,뉴스감성 강양 진입,single,positive,5,measurement_only,5614,0.016900920504215898,0.018272271405786925,0.025926031435910213,5382,0.018272271405786925,0.11315569807265159,0.5287997027127462,11.846442638922618,2.7951707675629724e-32,0.16147902153416274,False,
A18,뉴스감성 강음 진입,single,negative,5,measurement_only,2417,-0.012003351701488583,-0.010292903374727524,-0.00026139872457404235,2364,-0.010292903374727524,0.10787226907542567,0.4086294416243655,-4.639293171218679,1.8434733796600764e-06,-0.09541751057012247,False,
A19,뉴스감성 급변,single,two_sided,5,measurement_only,14712,0.0068765534687280855,0.008488326747471209,0.013283473469784677,14201,0.008488326747471209,0.10597173989277421,0.4900359129638758,9.545341876134236,1.5741149145419437e-21,0.08009990924052002,False,
B1,RSI<30 & MFI<20,double,positive,5,hypothesis_test,729,-0.0003204332061960175,0.007959319818307897,0.025847143374534573,729,0.007959319818307897,0.07232576634222618,0.5363511659807956,2.9713011830038023,0.001531541028108125,0.11004819196310378,True,0.004594623084324375
B2,RSI<30 & 볼린저 하단,double,positive,5,hypothesis_test,2426,0.0024866020524794553,0.01178663433403449,0.013501693947409117,2421,0.01178663433403449,0.09611903754241102,0.5662949194547707,6.033617733722865,9.248206705302817e-10,0.12262538863681216,True,1.664677206954507e-08
B3,MFI<20 & 볼린저 하단,double,positive,5,hypothesis_test,776,-0.0012840708091578844,0.004349365125560514,-0.0022637486596214086,776,0.004349365125560514,0.07222477183076448,0.48711340206185566,1.6775309825830789,0.046920952921725205,0.06021985276397761,False,0.1206538789415791
